DATE,GN_FT369PV,GN_PT3201PV,GN_TT3201PV,GN_PT3204PV,GN_TT3202PV,Inlet_H,Inlet_S,Outlet_H_iso,Outlet_H,Iso_eff
2017-07-16T00:00:00.000Z,98.35579681396484,139.1824951171875,523.6111450195311,11.965923309326172,268.36724853515625,3390.67996706335,6.480401297695863,2764.180217740455,2977.05467041696,0.6602162205067531
2017-07-16T01:00:00.000Z,97.58082580566406,139.39431762695312,523.162353515625,11.97498607635498,266.86068725585943,3389.2034588472666,6.47791634554436,2763.181467199388,2973.673321272736,0.6637628439868863
2017-07-16T02:00:00.000Z,98.61283111572266,138.96055603027344,523.1871337890625,11.848132133483887,266.59585571289057,3389.781145030102,6.479935505036544,2762.0479984564795,2973.509399731995,0.6631348807534816
2017-07-16T03:00:00.000Z,98.19548797607422,139.12857055664062,523.5118408203125,12.012680053710938,267.48178100585943,3390.4717122451216,6.4803008046071975,2764.89050045952,2974.9297412151805,0.6642494422808131
2017-07-16T04:00:00.000Z,97.9819793701172,139.251708984375,523.3500366210939,11.947171211242676,267.45822143554693,3389.884606338649,6.479196484189265,2763.320722664201,2975.095925029772,0.6620054109668319
2017-07-16T05:00:00.000Z,97.55765533447266,139.30278015136722,522.9166870117189,11.976367950439453,266.83718872070307,3388.638756306862,6.477479706391752,2763.002537359382,2973.616376836319,0.6633605390825092
2017-07-16T06:00:00.000Z,98.66668701171876,139.481201171875,523.675048828125,11.93313980102539,266.8138427734375,3390.50429482248,6.479290762345145,2763.1363555292605,2973.709313415903,0.6643549268330957
2017-07-16T07:00:00.000Z,97.20352172851562,139.31614685058594,523.0731811523439,11.958356857299805,267.04034423828125,3389.0513470244005,6.477958121924005,2762.931336016545,2974.128886699424,0.6626883872583506
2017-07-16T08:00:00.000Z,97.21625518798828,139.38090515136722,523.1831665039061,12.02389430999756,267.01092529296875,3389.2761913754284,6.478047616900959,2764.032406321759,2973.8439471965717,0.6644324247752372
2017-07-16T09:00:00.000Z,97.91739654541016,139.70503234863278,523.3212280273439,11.932001113891602,266.66665649414057,3389.273056583497,6.477079741549109,2762.098894505024,2973.3855896996365,0.663113202089827
2017-07-16T10:00:00.000Z,98.1282958984375,140.17012023925778,523.7003784179689,11.946418762207033,265.99298095703125,3389.7650198693054,6.476318267886782,2761.981911391085,2971.837193983515,0.6657200874659871
2017-07-16T11:00:00.000Z,97.68699645996094,139.02748107910156,524.91845703125,11.970662117004395,266.8402709960937,3394.432611484021,6.485570232443579,2766.639910109331,2973.6423665130756,0.6702694122590671
2017-07-16T12:00:00.000Z,98.08479309082031,139.11770629882812,523.72900390625,12.12713623046875,267.411865234375,3391.078171569626,6.481094377868186,2767.098042948111,2974.3916099377366,0.6677881915124854
2017-07-16T13:00:00.000Z,98.6237335205078,138.76065063476562,523.4071655273439,11.85463047027588,268.0555419921875,3390.6173801713735,6.4815832592045135,2762.913113418731,2976.7312375616266,0.659364870579804
2017-07-16T14:00:00.000Z,98.54651641845705,139.33424377441406,523.6111450195311,12.078383445739744,267.24676513671875,3390.5019224189477,6.47972541030763,2765.683844994952,2974.1868198348893,0.6662981076034885
2017-07-16T15:00:00.000Z,98.27916717529295,139.23556518554688,523.6648559570311,11.967713356018065,267.240966796875,3390.7645778204273,6.480349197803063,2764.185214834267,2974.544024211224,0.6642742774443986
2017-07-16T16:00:00.000Z,99.3317413330078,139.5166015625,523.568359375,11.998144149780273,265.63058471679693,3390.170848356279,6.4787669249567275,2763.9482804315167,2970.8548827230593,0.6695957429684943
2017-07-16T17:00:00.000Z,99.07100677490234,138.67129516601562,523.1292114257811,11.92519760131836,266.3538818359375,3389.9626945823156,6.481028737363453,2763.8082091034184,2972.712276156156,0.6663697667310282
2017-07-16T18:00:00.000Z,99.20500946044922,139.74795532226562,523.4375,12.005229949951172,266.69561767578125,3389.5409625269076,6.47728860991898,2763.381097452347,2973.204305583402,0.6649047314681052
2017-07-16T19:00:00.000Z,98.1259765625,138.55018615722656,523.1729736328125,11.982672691345215,267.29031372070307,3390.224558346116,6.481720449850889,2765.059749294248,2974.603841536118,0.6648178380998969
2017-07-16T20:00:00.000Z,98.38461303710938,140.41824340820312,522.9879760742189,11.810105323791506,266.60211181640625,3387.520319619425,6.472766517918011,2758.1248361998423,2973.6507918940665,0.6575667265305984
2017-07-16T21:00:00.000Z,99.47479248046876,140.7645721435547,523.5616455078125,11.95362663269043,266.85940551757807,3388.686221709072,6.473209059652241,2760.665624528565,2973.742053715814,0.6607174507590133
2017-07-16T22:00:00.000Z,99.21050262451172,140.09693908691406,523.0447998046875,12.021344184875488,266.9491577148437,3388.0546464685954,6.474387593525216,2762.303285746521,2973.7149321308298,0.6621475243132445
2017-07-16T23:00:00.000Z,98.32093048095705,139.30545043945312,523.1399536132811,12.033126831054688,266.20730590820307,3389.2466575923104,6.478235274990689,2764.2678534870483,2972.0224225948973,0.6675814159725361
2017-07-17T00:00:00.000Z,98.917236328125,139.83750915527344,523.4771728515625,11.965362548828125,265.45138549804693,3389.544370284843,6.4770270578098295,2762.6156633896585,2970.566367619728,0.6683024689363335
2017-07-17T01:00:00.000Z,99.12434387207031,140.2337646484375,523.3153076171875,12.039094924926758,266.60467529296875,3388.635066037691,6.4747115907567165,2762.738717759563,2972.8879510038487,0.6642427554939141
2017-07-17T02:00:00.000Z,97.97393035888672,139.82766723632812,523.3269653320311,12.025834083557127,266.6937866210937,3389.1445953375755,6.476554380292526,2763.3750017855236,2973.1310452065563,0.6648030751535947
